File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,bit
108811,FFT1DOnce,867,omega_r,2.9802322299999874e-08,-0.008113438117905675,8.53e-14,Masked,45
94511,FFT1DOnce,873,x_r,-1.5179121911532207e+308,-inf,nan,DUE,61
427596,FFT1DOnce,875,x2,4.0,0.16346545518790012,1.137e-13,Masked,49
178846,FFT1DOnce,868,omega_c,0.0,0,8.53e-14,Masked,57
459213,FFT1DOnce,875,x2,-154.41182835834041,0.9375,0.6031712045246707,SDC,53
163774,FFT1DOnce,874,x_c,-4.720693235877298e+19,-1.8446744073709552e+19,190.21277070375248,SDC,57
76796,FFT1DOnce,870,x_c,0.0625,-0.13551921610360712,8.53e-14,Masked,49
93723,FFT1DOnce,872,tau_c,0.0078125,0.014581646291961618,5.68e-14,Masked,45
124655,FFT1DOnce,873,x_r,nan,nan,nan,DUE,61
328843,FFT1DOnce,871,tau_r,0.125,-0.014869987807419945,8.53e-14,Masked,45
506876,FFT1DOnce,870,x_c,-2.0,0.1323768717989342,5.68e-14,Masked,49
46268,FFT1DOnce,870,x_c,0.03125,0.24959236634985307,5.68e-14,Masked,49
433516,FFT1DOnce,877,x1,-8.0,0.13826195842917346,8.53e-14,Masked,49
263644,CopyColumn,820,dest,0.5,-0.17604628886922,1.705e-13,Masked,49
204957,FFT1DOnce,868,omega_c,0.0,0,8.53e-14,Masked,53
103823,TwiddleOneCol,709,tomega_r,8.474226738699652e+307,inf,nan,DUE,61
112923,TwiddleOneCol,715,tx,-0.03125,-0.013114456477292013,8.53e-14,Masked,45
489583,FFT1DOnce,873,x_r,-132.70614874673538,1.0,8.294134296670904,SDC,61
223949,Reverse,832,x,-0.5774642099274212,0.9375,0.0,Masked,53
41022,FFT1DOnce,878,x1,-1.4750391315269553,1.0,1.47503913152687,SDC,57
95837,TwiddleOneCol,715,tx,0.9775127078794343,-0.9375,5.68e-14,Masked,53
462683,FFT1DOnce,868,omega_c,0.0,0,8.53e-14,Masked,45
244333,FFT1DOnce,869,x_r,-34.21639337851834,-15.0,2.274e-13,Masked,53
194462,FFT1DOnce,872,tau_c,4.094915466513147e+19,1.8446744073709552e+19,256.05303764819547,SDC,57
121868,FFT1DOnce,867,omega_r,0.25,0.25,0.1027658738902915,SDC,49
405724,Transpose,804,dest,4.0,-0.13491356775581484,8.53e-14,Masked,49
366637,FFT1DOnce,869,x_r,114.87927446944646,15.0,2.842e-13,Masked,53
